iter	Passed	Remaining
856	1428	2653
857	1429	2650
858	1429	2646
859	1430	2643
860	1431	2640
861	1432	2636
862	1432	2633
863	1435	2632
864	1436	2630
865	1437	2627
866	1439	2625
867	1440	2623
868	1440	2619
869	1441	2616
870	1442	2613
871	1443	2610
872	1444	2607
873	1444	2603
874	1445	2600
875	1446	2597
876	1447	2595
877	1450	2595
878	1452	2594
879	1453	2591
880	1454	2589
881	1456	2587
882	1457	2584
883	1458	2582
884	1459	2579
885	1460	2576
886	1461	2573
887	1465	2576
888	1467	2574
889	1468	2572
890	1469	2569
891	1472	2570
892	1473	2567
893	1474	2564
894	1475	2561
895	1476	2558
896	1477	2555
897	1478	2553
898	1480	2552
899	1481	2549
900	1482	2547
901	1484	2545
902	1484	2542
903	1485	2539
904	1487	2537
905	1488	2534
906	1489	2531
907	1489	2528
908	1490	2525
909	1492	2523
910	1495	2524
911	1498	2525
912	1499	2523
913	1501	2521
914	1502	2518
915	1503	2515
916	1504	2513
917	1505	2511
918	1506	2508
919	1508	2507
920	1510	2506
921	1512	2504
922	1513	2502
923	1514	2498
924	1514	2495
925	1515	2492
926	1516	2489
927	1516	2486
928	1517	2483
929	1518	2480
930	1519	2477
931	1520	2474
932	1520	2471
933	1521	2468
934	1523	2466
935	1524	2464
936	1526	2463
937	1527	2461
938	1528	2458
939	1529	2455
940	1530	2452
941	1530	2449
942	1531	2446
943	1532	2442
944	1533	2439
945	1533	2436
946	1534	2433
947	1535	2430
948	1536	2427
949	1536	2424
950	1538	2423
951	1540	2421
952	1541	2419
953	1542	2416
954	1542	2413
955	1543	2410
956	1544	2407
957	1544	2404
958	1545	2401
959	1546	2398
960	1547	2395
961	1547	2392
962	1548	2389
963	1549	2386
964	1549	2383
965	1550	2380
966	1551	2377
967	1553	2376
968	1554	2374
969	1555	2371
970	1556	2369
971	1557	2366
972	1558	2363
973	1558	2360
974	1559	2357
975	1560	2354
976	1560	2351
977	1561	2348
978	1562	2345
979	1563	2342
980	1563	2339
981	1564	2337
982	1565	2334
983	1565	2331
984	1567	2329
985	1568	2327
986	1569	2325
987	1570	2322
988	1571	2320
989	1572	2317
990	1573	2314
991	1574	2311
992	1575	2309
993	1575	2306
994	1577	2304
995	1577	2301
996	1578	2299
997	1579	2296
998	1580	2293
999	1581	2290
1000	1582	2289
1001	1584	2287
1002	1585	2285
1003	1586	2283
1004	1587	2280
1005	1587	2277
1006	1588	2274
1007	1589	2272
1008	1590	2269
1009	1591	2266
1010	1591	2264
1011	1592	2261
1012	1593	2258
1013	1595	2257
1014	1596	2255
1015	1599	2255
1016	1603	2257
1017	1604	2255
1018	1605	2252
1019	1605	2249
1020	1606	2247
1021	1607	2245
1022	1608	2242
1023	1609	2240
1024	1610	2237
1025	1613	2237
1026	1614	2236
1027	1617	2235
1028	1618	2233
1029	1620	2232
1030	1622	2231
1031	1623	2229
1032	1625	2227
1033	1627	2226
1034	1630	2226
1035	1631	2225
1036	1633	2223
1037	1634	2222
1038	1636	2220
1039	1638	2219
1040	1639	2218
1041	1646	2223
1042	1648	2222
1043	1650	2220
1044	1651	2219
1045	1652	2217
1046	1654	2215
1047	1656	2214
1048	1671	2230
1049	1675	2232
1050	1678	2233
1051	1682	2234
1052	1685	2234
1053	1687	2232
1054	1693	2237
1055	1698	2240
1056	1700	2239
1057	1704	2240
1058	1706	2240
1059	1708	2238
1060	1716	2246
1061	1719	2246
1062	1722	2246
1063	1725	2245
1064	1727	2245
1065	1729	2243
1066	1730	2241
1067	1734	2242
1068	1738	2244
1069	1740	2243
1070	1742	2242
1071	1750	2248
1072	1754	2249
1073	1756	2248
1074	1758	2247
1075	1759	2245
1076	1760	2243
1077	1761	2240
1078	1763	2239
1079	1765	2237
1080	1766	2235
1081	1767	2233
1082	1768	2230
1083	1769	2228
1084	1770	2225
1085	1771	2222
1086	1771	2220
1087	1772	2217
1088	1773	2214
1089	1774	2212
1090	1775	2209
1091	1776	2207
1092	1779	2208
1093	1782	2208
1094	1783	2205
1095	1784	2203
1096	1785	2200
1097	1786	2198
1098	1787	2195
1099	1788	2193
1100	1789	2190
1101	1790	2188
1102	1790	2185
1103	1792	2183
1104	1794	2182
1105	1795	2180
1106	1796	2178
1107	1797	2176
1108	1798	2173
1109	1799	2171
1110	1800	2168
1111	1801	2166
1112	1802	2163
1113	1803	2161
1114	1804	2158
1115	1805	2155
1116	1806	2153
1117	1807	2152
1118	1809	2150
1119	1810	2148
1120	1811	2145
1121	1812	2143
1122	1813	2140
1123	1814	2138
1124	1815	2136
1125	1815	2133
1126	1816	2131
1127	1817	2128
1128	1818	2125
1129	1818	2123
1130	1819	2120
1131	1820	2117
1132	1822	2116
1133	1825	2116
1134	1826	2114
1135	1827	2112
1136	1828	2110
1137	1829	2107
1138	1830	2105
1139	1831	2102
1140	1832	2100
1141	1833	2097
1142	1833	2095
1143	1834	2092
1144	1835	2090
1145	1836	2087
1146	1837	2086
1147	1839	2084
1148	1840	2082
1149	1841	2080
1150	1842	2078
1151	1843	2075
1152	1844	2073
1153	1845	2071
1154	1846	2068
1155	1847	2066
1156	1848	2063
1157	1848	2061
1158	1849	2059
1159	1851	2056
1160	1852	2055
1161	1853	2053
1162	1855	2051
1163	1856	2049
1164	1857	2047
1165	1859	2045
1166	1860	2043
1167	1861	2041
1168	1861	2038
1169	1862	2036
1170	1863	2034
1171	1864	2031
1172	1865	2029
1173	1866	2027
1174	1868	2026
1175	1870	2025
1176	1872	2023
1177	1873	2021
1178	1874	2019
1179	1876	2018
1180	1877	2016
1181	1879	2014
1182	1880	2011
1183	1881	2010
1184	1884	2009
1185	1885	2008
1186	1887	2006
1187	1888	2004
1188	1889	2002
1189	1890	2000
1190	1891	1997
1191	1893	1996
1192	1895	1995
1193	1898	1995
1194	1899	1993
1195	1900	1991
1196	1901	1989
1197	1903	1987
1198	1904	1985
1199	1905	1983
1200	1906	1981
1201	1907	1978
1202	1908	1976
1203	1909	1974
1204	1910	1971
1205	1911	1970
1206	1913	1968
1207	1916	1968
1208	1916	1966
1209	1918	1964
1210	1919	1962
1211	1920	1960
1212	1921	1958
1213	1922	1956
1214	1924	1954
1215	1925	1952
1216	1927	1950
1217	1928	1949
1218	1930	1947
1219	1932	1946
